Message,Severity,Explanation,Recommended Action
"
LWAPP-3-CRYPTO_ERR1: The system is unable to encrypt crypto payload with public key for message to AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,An internal error occurred while encrypting a message to the AP. If the AP is already connected to the controller,Standard Recommended Action
"
LWAPP-3-CRYPTO_ERR2: The system is unable to encrypt crypto payload with private key for message to AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,An internal error occurred while encrypting a message to the AP. If the AP is already connected to the controller,Standard Recommended Action
"
LWAPP-3-DECODE_ERR: Error decoding %s from AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The LWAPP message sent by the AP was not understood by the controller,Standard Recommended Action
"
LWAPP-3-ECHO_ERR: Did not receive heartbeat reply",3-Error,The controller did not get a response for the AP heartbeat message. There may be connectivity issues between the AP and the controller.,Check if the AP has rebooted
"
LWAPP-3-FILE_ERR5: File could not be opened to store %s information from AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Due to an internal error,Standard Recommended Action
"
LWAPP-3-FILE_ERR6: The sytem is unable to write %s information from AP %02x:%02x:%02x:%02x:%02x:%02x into local file""",3-Error,Due to an internal error,Standard Recommended Action
"
LWAPP-3-HREAP_ERR: The system has received invalid flexconnect operation for AP %02x:%02x:%02x:%02x:%02x:%02x while processing RADIUS configuration payload",3-Error,Due to an internal error,Standard Recommended Action
"
LWAPP-3-HREAP_ERR2: The system has received invalid RADIUS port number",3-Error,Due to an invalid port number,Standard Recommended Action
"
LWAPP-3-HREAP_ERR3: %02x:%02x:%02x:%02x:%02x:%02x:%s """,3-Error,OfficeExtend is not supported with vlan maapping ,Standard Recommended Action
"
LWAPP-3-IMAGE_DOWNLOAD_ERR3: Refusing image download request from AP %02x:%02x:%02x:%02x:%02x:%02x - unable to open image file %s""",3-Error,Due to an internal error,Standard Recommended Action
"
LWAPP-3-IMAGE_DOWNLOAD_ERR4: Refusing image download request from AP %02x:%02x:%02x:%02x:%02x:%02x - unable to open MD5 file %s""",3-Error,Due to an internal error,Standard Recommended Action
"
LWAPP-3-IMAGE_DOWNLOAD_ERR5: Refusing image download request from AP %02x:%02x:%02x:%02x:%02x:%02x - Error during image file operation file %s""",3-Error,Due to an internal error,Standard Recommended Action
"
LWAPP-3-IMAGE_SWAP_ERR8: Swap Image failed for AP %02x:%02x:%02x:%02x:%02x:%02x - Error ignored during scheduled system reset.""",3-Error,Some issue with sending swap image command to some AP.,Standard Recommended Action
"
LWAPP-3-INVALID_PARAMETER: The system detects an invalid parameter: %s in LWAPP packet from AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The specified parameter was not understood by the controller,Standard Recommended Action
"
LWAPP-3-INVALID_PARAMETER1: %s",3-Error,The value of parameter specified was not understood by the controller,Standard Recommended Action
"
LWAPP-3-INVALID_PARAMETER2: %s",3-Error,The value of parameter specified was not understood by the controller,Standard Recommended Action
"
LWAPP-3-INVALID_PARAMETER3: %s",3-Error,The value of parameter specified was not understood by the controller,Standard Recommended Action
"
LWAPP-3-INVALID_PARAMETER4: %s""",3-Error,The value of parameter specified was not understood by the controller,Standard Recommended Action
"
LWAPP-3-INVALID_SESSIONID: The system has received invalid session identifier in %s from AP %02x:%02x:%02x:%02x:%02x:%02x ",3-Error,A mismatch has occurred in the session identifier in the message from the AP. The message has been dropped.,Standard Recommended Action
"
LWAPP-3-JOIN_HIGH_PRIORITY_AP_ERR: Disconnecting AP %s since a higher priority AP with priority %d joined Max number of APs allowed %d""",3-Error,When AP join priority is enabled,No action is required
"
LWAPP-3-JOIN_MAX_JOIN_ERR: Reached max limit",3-Error,Controller could not respond to the join request from the AP as the current limit on the maximum number of concurrent join requests that can be processed has been reached. This may be a transient condition.,Standard Recommended Action
"
LWAPP-3-KEY_ERR3: The system is unable to free public key for AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Due to an internal error,Standard Recommended Action
"
LWAPP-3-MSG_SEND_ERR2: The system is unable to send %s message to LWAPP""",3-Error,The LWAPP process may be busy. If this condition persists,Standard Recommended Action
"
LWAPP-3-OSSID_ERR: Override SSID %.*s does not exist on the controller""",3-Error,The system could not delete the specific override SSID from the controller's database. Override SSID functionality may not work as expected.,Standard Recommended Action
"
LWAPP-3-PAYLOAD_ERR: %s - AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Not all payloads expected in the LWAPP message are present. The controller is dropping these LWAPP messages from the AP. The AP might not be able to join the controller.,Standard Recommended Action
"
LWAPP-3-REPLAY_ERR: The system has received replay error on slot %d",3-Error,The controller has received a replay error on the specified AP and WLAN.,Check if there is a replay attack in the network.
"
LWAPP-3-RX_ERR: The system has received an unexpected LWAPP packet from AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The controller had no pending messages for this AP,No action is required
"
LWAPP-3-RX_ERR3: The system has received LWAPP packet with invalid sequence number",3-Error,An LWAPP packet sequence mismatch has occurred,No action is required
"
LWAPP-3-RX_ERR4: The system has received invalid add mobile action",3-Error,Adding a client to the AP has failed. The client may not be serviced as expected.,Standard Recommended Action
"
LWAPP-3-RX_ERR9: The system has received a bad sequenced %s message from AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,An LWAPP packet sequence mismatch has occurred,Standard Recommended Action
"
LWAPP-3-TIME_ERR1: The system is unable to retrieve current time when processing %s from AP %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Due to an internal error,Standard Recommended Action
"
LWAPP-3-TX_ERR7: The system could not transmit LWAPP control packet",3-Error,Due to an internal error,Standard Recommended Action
"
LWAPP-3-TX_ERR8: The system is unable to determine MTU for interface %u""",3-Error,An error has occured while obtaining the MTU for the interface. The LWAPP message has been dropped.,Standard Recommended Action
"
LWAPP-3-UNSUPPORTED_TYPE3: The system has received an invalid %s",3-Error,The information received on the controller was not understood,Standard Recommended Action
"
LWAPP-3-VALIDATE_ERR: Validation of %s failed - AP  %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,Due to invalid parameters sent,Standard Recommended Action
"
LWAPP-3-VENDOR_PLD_VALIDATE_ERR: Validation of %s",3-Error,Due to invalid parameters sent,Standard Recommended Action
"
LWAPP-3-WLAN_ENABLE_FAILED: %s",3-Error,Failed to push the WLAN config to radios on the AP due to error within the system.,No action is required
"
LWAPP-3-WLAN_ERR2: The system is unable to find WLAN %d to be deleted",3-Error,The requested WLAN does not exist in the database,Standard Recommended Action
"
LWAPP-3-WLAN_ERR5: The system is unable to find WLAN %d",3-Error,The requested WLAN does not exist in the database,Standard Recommended Action
"
LWAPP-6-CAPWAP_SUPP_VER: Discarding %s in LWAPP from AP %02x:%02x:%02x:%02x:%02x:%02x supporting CAPWAP""",6-Information,The message was recieved in LWAPP from AP which supports CAPWAP This may be a normal condition and AP will join the controller  in CAPWAP after maximum retries in LWAPP.,No action is required
"
MM-1-EXPORT_FOREIGN_DOWN: Export FOREIGN %u.%u.%u.%u is detected as DOWN. Status:%d.Cleaning up client entries.""",1-Alert,Export FOREIGN is detected as DOWN. Cleaning up client entries.,This is a mobility failover event that has occurred due to loss of connectivity between this WLC and one of its mobility peers. Please debug  your network for connectivity issues and check the status of the down mobility peer. 
"
MM-2-ANCHOR_NOT_DEFINED: Auto anchor required but no anchors defined. Wlan-Id:%d",2-Critical,Auto anchor required but no anchors defined on the WLAN.,Standard Recommended Action
"
MM-3-DUMP_MBUF: mobility capwap mbuf received with error: %s\n buffer:\n%s""",3-Error,Dump of mob capwap mbuf,Standard Recommended Action
"
MM-3-MSCB_NULL: mscb is NULL. %s. """,3-Error,No client entry found in the database ,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"
MM-3-PING_SEND_FAILED_IPV6: Failed to send a ping %s packet to %s""",3-Error,Failed to send a ping.,Please check mobility configuration to see if it needs correction.
"
MM-4-MOBILITY_PKT_ERROR: Invalid packet pointer.""",4-Warning,LOG_EXPL_SYSERR,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"
MM-6-INET_MEMBER_ADD_FAILED: Could not add Mobility Member. Reason: %s",6-Information,Could not add Mobility Member for the given reason.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"
OSAPI-3-INVALID_ALLOC_SIZE: MSG_TRACEBACK:",3-Error,Invalid allocation size. Unable to allocate memory,Standard Recommended Action
"
SIM-3-DEFAULT_BAUD_RATE: Unable to read baudrate from configuration file..Setting to default:9600 baud.""",3-Error,unable to read baudrate from configuration file. Setting to default:9600 baud.,No action is required
"
SIM-3-IPV6_ROUTE_ADD_FAIL: Failed to apply route configuration data command :%s rc :%d""",3-Error,Failed to apply route configuration data,Standard Recommended Action
"
SIM-3-IPV6_SRVC_PORT_SLAAC_ADDR_FAIL: SLAAC Address learning failed on service port""",3-Error,SLAAC depends on router advertisements from network,Standard Recommended Action
"
SIM-3-QOS_ACIMAP_FAIL: Unable to set %s Adjacent Channel Interference",3-Error,Unable to set Profile Adjacent Channel Interference,Standard Recommended Action
"
SIM-3-QOS_ACM_DOT1A_FAIL: Unable to set %s Admission Control",3-Error,Unable to set Admission Control,Standard Recommended Action
"
SIM-3-QOS_ACM_DOT1BG_FAIL: Unable to set %s Admission Control",3-Error,Unable to set Admission Control,Standard Recommended Action
"
SIM-3-QOS_AIFS_FAIL: Unable to set %s Arbitration Interframe Space",3-Error,Unable to set Arbitration Interframe Space,Standard Recommended Action
"
SIM-3-QOS_PROFILE_PRIORITY_FAIL: Unable to set %s profile for %s qos priority level""",3-Error,Unable to set Profile QoS priority level,Standard Recommended Action
"
SIM-3-QOS_TXOP_FAIL: Unable to set %s Transmission Opportunity",3-Error,Unable to set Transmission Opportunity,Standard Recommended Action
"
SIM-3-SET_VLAN_ADDR_FAIL: Unable to set VLAN Interface Address. Ip Addr:%u.%u.%u.%u. Gateway:%u.%u.%u.%u""",3-Error,Unable to set VLAN Interface Address,Standard Recommended Action
"
SISF_ISSU-2-GET_BUFFER: Sisf ISSU client failed to get buffer for message. Error: %d",2-Critical,The Sisf ISSU client failed to get buffer space for building a negotiation message. A negotiation message cannot be sent to the standby device. If a problem occurs with the ISSU session negotiation,Standard Recommended Action
"
SISF_ISSU-3-MSG_NOT_OK: Sisf ISSU client 'Message Type %d' is not compatible""",3-Error,The Sisf ISSU client received an incompatible message from the peer device. The message cannot be processed.,Standard Recommended Action
"
SISF-6-RESOLUTION_VETO: Resolution vetoed %s""",6-Information,"IPv6 Neighbor Discovery,A low rate of vetoed resolutions is not serious. If there is a high rate of vetos this might suggest that the link is under attack. Investigate the source of the packets driving these resolution requests""",Standard Recommended Action
"
SSHPM-3-MSGTAG799: SSHPM: can't allocate more index freelist elements""",3-Error,SSHPM: can't allocate more index freelist elements.,Standard Recommended Action
"
USMDB-3-MSGTAG006: Cannot add Mobility Member",3-Error,The system cannot add Mobility Member,Standard Recommended Action
"
USMDB-4-MSGTAG023: usmDbWcpGetPeersPortAndIp",4-Warning,usmDbWcpGetPeersPortAndIp,Standard Recommended Action
"
USMDB-4-MSGTAG024: usmDbWcpControllerExists",4-Warning,usmDbWcpControllerExists,Standard Recommended Action
"
USMDB-4-MSGTAG025: usmDbWcpGetNextController",4-Warning,usmDbWcpGetNextController,Standard Recommended Action
"
USMDB-4-MSGTAG026: usmDbWcpGetControllerIPAddress",4-Warning,usmDbWcpGetControllerIPAddress,Standard Recommended Action
"
USMDB-4-MSGTAG027: usmDbWcpGetParentRouterName",4-Warning,usmDbWcpGetParentRouterName,Standard Recommended Action
"
USMDB-4-MSGTAG028: LAG in transition.switch reboot DUE..!!!""",4-Warning,LAG in transition. A switch reboot DUE..!!!,Standard Recommended Action
"

CAPWAP-3-DUP_AP_NAME: AP with same name %s exist. Using default name %s for this AP. radId %d dupRadId %d APMac: %02x:%02x:%02x:%02x:%02x:%02x dupApMac: %02x:%02x:%02x:%02x:%02x:%02x.""",3-Error,AP with same name exists in the AP data base entry. Using default AP name for this AP. Re-configure the AP name for uniqueness.,No action is required
"

CAPWAP-3-SN2CCO_ERR: %s. Change the mode to TFTP. JOIN Request from- %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,The AP is not covered under contract to download image from CCO server,Standard Recommended Action
"AAA-2-DNSMSG_SEND_FAILED: ""Could not send a message to DNS task. %s.""",2-Critical,Could not send a message to the DNS task.,No action is required
"AAA-3-AAA_AVP_COUNT_EXCEEDED: ""The AVP Count has exceeded. Count is [%d].""",3-Error, The AVP Count has exceeded.,This is a debug message only. No action is required.
AAA-3-AAA_AVP_PASSWORD_TOOBIG: MSG_SECURITY,3-Error,Could not copy AAA AVP to RADIUS AVP as AVP is too big.,Check that password entered is less than 256 characters
"AAA-3-AAA_CONFIG_NOT_ALLOWED: ""Configurations is blocked when save config is in progress""",3-Error,Configurations is blocked when save config is in progress.Retry configuration after few seconds,No action is required
AAA-3-AAA_STATS_DX_SYNC_QUEUE_FAILED: MSG_SECURITY,3-Error,Failed to queue RADIUS/TACACS+ statistics sync request to AAA message queue.,Standard Recommended Action
AAA-3-AAA_STATS_DX_SYNC_QUEUE_FAILED: MSG_SECURITY,3-Error,Failed to queue RADIUS/TACACS+ statistics sync request to AAA message queue.,Standard Recommended Action
"AAA-3-ACCTREQ_SEND_FAILED: ""Unable to send Accounting Request for User %s. %s""",3-Error,Unable to send an Accounting Request.,Standard Recommended Action
"AAA-3-ASYN_BUFFER_ALLOC_FAILED: ""Unable to allocate memory for AAA response.""",3-Error,Unable to allocate memory for AAA response.,Standard Recommended Action
AAA-3-AUTH_REQUEST_QUEUE_FAILED: MSG_SECURITY,3-Error,Failed to queue auth request to AAA message queue.,This is a debug message only. No action is required.
"AAA-3-BUFF_ALLOC_FAILED: ""Could not allocate a system buffer. %s.""",3-Error,The system could not allocate a system buffer.,The system has failed to allocate some memory. The system might be out of buffers. This may be temporary problem
"AAA-3-BUFFER_ALLOC_FAILED: ""Unable to allocate memory - %s",3-Error,Unable to allocate memory in the AAA module.,Standard Recommended Action
"AAA-3-CALLED_STATION_ATTRIBUTE_GET_FAILED: ""Failed to get the configured CalledStaionIdType attributeUsing 'System Mac' as CalledStaionId - %s""",3-Error,Failed to get the configured CalledStaionIdType attribute.,No action is required
AAA-3-CLEANUP_CLIENT_REQUEST_QUEUE_FAILED: MSG_SECURITY,3-Error,Failed to queue client cleanup request to AAA message queue.,This is a debug message only. No action is required.
AAA-3-COA_TASK_FAILED: MSG_SECURITY,3-Error,CoA functionality will not be working ,This is a debug message only. No action is required.
AAA-3-COA_WRONG_NAS_IP: MSG_SECURITY,3-Error,CoA received on in-correct IP address ,This is a debug message only. No action is required.
AAA-3-CONSTRUCT_UDP_RCV_SOCKET_FAILED: MSG_TRACEBACK,3-Error,RADIUS messages will not be received by the controller because of an internal error. AAA operations will not be possible.,This is a debug message only. No action is required.
"AAA-3-CREATE_DEFAULT_ADMIN_LOGIN: ""Maximim user record is 0. Initilized to 1 for default credentials.""",3-Error,Maximum user record is 0. Hence,No action is required
"AAA-3-CREATE_USR_TREE_FAILED: ""Could not create user AVL tree. Reason:%s.""",3-Error,Could not create a AVL tree for user database.,This is a debug message only. No action is required.
AAA-3-DB_INIT_FAILED: MSG_TRACEBACK,3-Error,Authentication actions may not be possible because the local authentication database could not be initialized.,Standard Recommended Action
AAA-3-DB_MODULE_INIT_FAILED: MSG_TRACEBACK,3-Error,Could not initialize a user database module.,This is a debug message only. No action is required.
AAA-3-EAPMETHOD_ADD_FAILED: MSG_SECURITY,3-Error,Unable to add a method to the EAP profile for a particular user.,Review the error reason and take appropriate action.
AAA-3-EAPPROF_ADD_FAILED: MSG_SECURITY,3-Error,An EAP profile could not be added to a particular user because it already exists or because of an internal error.,Make sure the profile does not already exist and the profile name is valid.
"AAA-3-FD_NOT_SET: ""File descriptor is not ready for reading. """,3-Error,File descriptor is not ready for reading. Please make sure the server is reachable,No action is required
AAA-3-FREELIST_DEL_FAILED: MSG_SECURITY,3-Error,AAA message was not properly processed because no memory could be allocated from the free list. The AAA module may have the maximum number of outstanding AAA requests.,This is a debug message only. No action is required.
"AAA-3-GET_GUESTINFO_FAILED: ""Unable to get the %s for user %s. %s.""",3-Error,Unable to get the guest user information.,Standard Recommended Action
"AAA-3-GET_MTU_FAIL: Unable to get MTU for Interface no:%d.""",3-Error,The system has failed to get a maximum transmission unit,This is a debug message only. No action is required.
"AAA-3-GET_SOCK_INFO_FAIL: ""Get sockname system call failed.""",3-Error,The system has failed to get the source UDP port number.,This is a debug message only. No action is required.
"AAA-3-GUEST_INFO_MALLOC_FAILED: ""Unable to allocate memory for guest account information of user %s.""",3-Error,Unable to allocate memory for guest account information.,Standard Recommended Action
AAA-3-INVALID_REQUEST: MSG_SECURITY,3-Error,The system has received an AAA request with a null or invalid payload.,This is a debug message only. No action is required.
"AAA-3-IP_FRAG_FAIL: IP fragmentation failed error code :%d.""",3-Error,The system has failed to do an IP fragmentation.,This is a debug message only. No action is required.
AAA-3-LDAP_CONNECT_SERVER_FAILED: MSG_SECURITY,3-Error,A configured LDAP server could not be contacted.,Verify LDAP server configuration and make sure the server is operational.
AAA-3-LDAP_COPY_ATTR_FAILED: MSG_SECURITY,3-Error,Could not copy attributes returned by the LDAP server.,Check if LDAP server setting is correct.
AAA-3-LDAP_TASK_FAILED: MSG_SECURITY,3-Error,Access to the LDAP servers is not possible because of an internal error.,This is a debug message only. No action is required.
AAA-3-LDAP_TIMER_CALLBACK_FAILED: MSG_SECURITY,3-Error,Access to the LDAP servers is not possible because of an internal error.,This is a debug message only. No action is required.
AAA-3-LIFETIME_SET_FAILED: MSG_TRACEBACK | MSG_SECURITY,3-Error,Unable to reset the lifetime of an account in the local database.,Check if it is a guest user and the lifetime is valid.
"AAA-3-LOCALAUTHDB_NO_EAP_MEMORY: Failed to allocate Local Auth EAP session handler for client %02x:%02x:%02x:%02x:%02x:%02x.""",3-Error,All Local Auth EAP session handlers are used up and hence auth request for the client is dropped.,No action is required
"AAA-3-MEM_ALLOC_FAILED: ""Error allocating %d bytes on stack for message. Aborting..""",3-Error,An error has occurred when allocating memory off the stack for a message. The system is canceling.,This is a debug message only. No action is required.
"AAA-3-PASSWD_AVP_ENCRPT_FAIL: ""Failed to encrypt the user password AVP for client %02X:%02X:%02X:%02X:%02X:%02X.""",3-Error,Failed to encrypt the user password AVP into the radius message.,No action is required
"AAA-3-PASSWD_STORE_FAILURE: ""Failed to store the password while configuring secret obfuscation.""",3-Error,Failed to store the password while configuring secret obfuscation.,No action is required
"AAA-3-PDU_TRANSMIT_FAILED: ""Failed to transmit the PDU for the command %s.Return code:%d.""",3-Error,The system has failed to transmit the RADIUS request protocol data unit,This is a debug message only. No action is required.
"AAA-3-PROXY_REQ_VALID_CRED_FAILED: ""Could not validate proxied request credentials. %s.STA: %02x:%02x:%02x:%02x:%02x:%02x""",3-Error,A username was not provided in a proxied RADIUS request.,Correct the RADIUS server configuration.
"AAA-3-RADIUS_PAC_OPAQUE: ""Could not add pac opaque attribute in Radius Message for server %s.Reason: %s""",3-Error,Eventhough server is pac enabled,Standard Recommended Action
"AAA-3-RADIUS_RES_TRUNC: ""Truncating RADIUS response from server at AVP code %d for message %d """,3-Error,Truncating RADIUS response from server at AVP code for a message. ,No action is required
"AAA-3-RADIUS_RESP_INVALID_LEN: ""Received invalid radius response len packet. [code %d",3-Error,Discarding the invalid length radius response message from the server.,No action is required
"AAA-3-RADIUS_SERVER_TXQ_ADD_FAILED: ""Tx radius server queue full for %s server %s QID:%d",3-Error,Transmission queue full. Dropping session packets.,No action is required
"AAA-3-RADIUS_SERVER_TXQ_ADD_FAILED: ""Tx radius server queue full for %s server %s QID:%d",3-Error,Transmission queue full. Dropping session packets.,No action is required
AAA-3-RADIUS_TIMER_CALLBACK_FAILED: MSG_SECURITY,3-Error,Access to the radius servers is not possible because of an internal error.,This is a debug message only. No action is required.
"AAA-3-RFC_SOCKET_ERROR: ""Could not construct the socket for RFC3576 transport thread. Error Num %d on socket %d.""",3-Error,The controller will not be able to receive Change of Authorization,This is a debug message only. No action is required.
"AAA-3-STATIC_INVALID_IP: ""Invalid Ip Address Type for Radius Server %s""",3-Error,Invalid Ip Address Type for Radius Server.,No action is required
"AAA-3-TEST_NULL_FAILED: ""Unable to allocate memory off the stack.""",3-Error,Unable to allocate memory off the stack for testing null attributes.,This is a debug message only. No action is required.
AAA-3-TPLUS_TIMER_CALLBACK_FAILED: MSG_SECURITY,3-Error,Access to the radius servers is not possible because of an internal error.,This is a debug message only. No action is required.
"AAA-3-TX_PKT_TOO_BIG: ""Radius Request Packet Being Sent via DTL too Big. Destination %u.%u.%u.%u. Max Len Supported for DTL %u. Actual Len being sent %u""",3-Error,Radius Request Packet being sent via DTL is too Big.,This is a debug message only. No action is required.
AAA-3-UDP_SOCKET_FAILED: MSG_SECURITY,3-Error,Socket for UDP returned NULL ,This is a debug message only. No action is required.
"AAA-3-UNAME_TOO_LONG: ""Username too long. Username length:%u.""",3-Error,The username supplied in an authentication request exceeded the maximum permitted length so the authentication request failed.,Specify a valid username in the authentication request.
"AAA-3-UPDATE_GUESTINFO_AT_LOGIN_FAILED: ""Unable to update guest user information at login for %s. %s.""",3-Error,Unable to update guest user information at login.,Standard Recommended Action
"AAA-3-UPDATE_GUESTINFO_AT_LOGOUT_FAILED: ""Unable to update guest user information at logout for %s. %s.""",3-Error,Unable to update guest user information at logout.,Standard Recommended Action
AAA-3-USER_DB_INIT_FAILED: MSG_SECURITY,3-Error,An error has occurred while initializing the database module.,This is a debug message only. No action is required.
"AAA-3-USER_NAME_INVALID: ""Invalid username provided. %s.""",3-Error,Invalid username provided.,Standard Recommended Action
AAA-3-USERDBFILE_CREATE_FAILED: MSG_TRACEBACK,3-Error,Unable to create user database file.,This is a debug message only. No action is required.
"AAA-3-USERDBFILE_LOAD_FAILED: ""Unable to load user database file. %s for user %s.""",3-Error,An internal error occurred while reading the saved local user database and some entries may have been lost.,This is a debug message only. No action is required.
"AAA-3-VALIDATE_GUEST_SESSION_FAILED: ""Guest user session validation failed for %s. %s.""",3-Error,Guest user session validation failed.,Standard Recommended Action
